down_idx,up_idx,down_ms,up_ms,shoulder_move,left_move,right_move,wrist_move,source
1287,1338,23740.0,24589.0,0.06432650000000001,0.0005580000000000029,0.00013699999999999823,0.0003475000000000006,dati di debug\3° test.csv
1368,1430,25088.0,26120.0,0.03972450000000005,0.10801299999999997,0.12915000000000004,0.1185815,dati di debug\3° test.csv
249,497,4149.0,8276.0,0.08872799999999997,0.034296999999999966,0.01804800000000001,0.026172499999999987,dati di debug\4° test.csv
518,563,8626.0,9375.0,0.0588805,0.0005539999999999989,0.0038610000000000033,0.002207500000000001,dati di debug\4° test.csv
587,632,9774.0,10523.0,0.05895450000000002,0.0029429999999999734,0.011037000000000019,0.006989999999999996,dati di debug\4° test.csv
657,701,10939.0,11671.0,0.06032949999999998,0.002137,0.007914000000000032,0.005025500000000016,dati di debug\4° test.csv
726,772,12087.0,12853.0,0.06267149999999999,0.003676999999999986,0.0002869999999999817,0.0019819999999999838,dati di debug\4° test.csv
797,842,13269.0,14018.0,0.06392799999999998,0.0017879999999999563,0.0039519999999999555,0.002869999999999956,dati di debug\4° test.csv
870,919,14483.0,15299.0,0.056952,0.005832000000000004,0.0018799999999999928,0.0038559999999999983,dati di debug\4° test.csv
948,998,15781.0,16614.0,0.06780599999999998,0.0009489999999999776,0.0026060000000000527,0.0017775000000000152,dati di debug\4° test.csv
1027,1077,17096.0,17928.0,0.06297900000000001,0.002732000000000012,0.0035630000000000384,0.0031475000000000253,dati di debug\4° test.csv
1108,1159,18444.0,19293.0,0.06188650000000001,0.0006309999999999927,0.0019459999999999478,0.0012884999999999702,dati di debug\4° test.csv
1192,1240,19842.0,20641.0,0.05232549999999997,0.14767100000000005,0.14106400000000002,0.14436750000000004,dati di debug\4° test.csv
308,528,5143.0,8804.0,0.099827,0.06349300000000002,0.014297000000000004,0.03889500000000001,dati di debug\5° test.csv
551,597,9187.0,9952.0,0.0656485,0.0037670000000000203,0.004357999999999973,0.004062499999999997,dati di debug\5° test.csv
621,667,10351.0,11117.0,0.06301050000000002,0.0026980000000000337,0.005570000000000019,0.0041340000000000265,dati di debug\5° test.csv
691,737,11516.0,12282.0,0.05805250000000001,0.00037800000000004497,0.008572000000000024,0.0044750000000000345,dati di debug\5° test.csv
763,809,12715.0,13480.0,0.06561350000000005,0.0024660000000000237,0.0016550000000000176,0.0020605000000000206,dati di debug\5° test.csv
834,881,13896.0,14678.0,0.059497999999999995,0.007312999999999958,9.700000000001374e-05,0.003704999999999986,dati di debug\5° test.csv
905,952,15078.0,15860.0,0.06184299999999998,0.0025880000000000347,0.003605999999999998,0.0030970000000000164,dati di debug\5° test.csv
981,1028,16343.0,17125.0,0.0634015,0.00792799999999999,0.0014620000000000188,0.004695000000000005,dati di debug\5° test.csv
1056,1106,17591.0,18423.0,0.06428149999999994,0.0050000000000000044,0.00392899999999996,0.004464499999999982,dati di debug\5° test.csv
1136,1188,18922.0,19788.0,0.066307,0.00460900000000003,0.003925999999999985,0.004267500000000007,dati di debug\5° test.csv
1220,1271,20320.0,21169.0,0.05997150000000001,0.133901,0.12125000000000002,0.1275755,dati di debug\5° test.csv
1518,1640,25280.0,27310.0,0.10464249999999997,0.22532999999999997,0.15887499999999996,0.19210249999999995,dati di debug\5° test.csv
1674,1727,27876.0,28758.0,0.0035459999999999936,0.063589,0.06201300000000004,0.06280100000000002,dati di debug\5° test.csv
1759,1823,29291.0,30356.0,0.02089000000000002,0.044097,0.06187100000000001,0.052984,dati di debug\5° test.csv
1848,1893,30772.0,31521.0,0.005117499999999997,0.05826399999999998,0.07254500000000003,0.0654045,dati di debug\5° test.csv
1917,1965,31920.0,32719.0,0.003946999999999978,0.06435600000000002,0.07993299999999998,0.0721445,dati di debug\5° test.csv
1989,2040,33118.0,33967.0,0.003233999999999959,0.057738999999999985,0.06932900000000003,0.06353400000000001,dati di debug\5° test.csv
2062,2111,34333.0,35148.0,0.004179500000000003,0.058640000000000025,0.06607099999999999,0.06235550000000001,dati di debug\5° test.csv
2286,2288,38094.0,38144.0,0.8282315,0.27100899999999994,0.43373599999999995,0.3523725,dati di debug\5° test.csv
2290,2293,38218.0,38260.0,0.026836000000000082,0.15105999999999997,0.33925,0.24515499999999998,dati di debug\5° test.csv
2300,2344,38377.0,39142.0,0.17925449999999998,0.673122,0.5662699999999999,0.619696,dati di debug\5° test.csv
